"","Region","TIME_FY","Time","Value","dist_from_syd"
"280","Baulkham Hills (West) - Bella Vista",2007,"2006-07",-72,NA
"281","Baulkham Hills (West) - Bella Vista",2008,"2007-08",66,NA
"282","Baulkham Hills (West) - Bella Vista",2009,"2008-09",-86,NA
"283","Baulkham Hills (West) - Bella Vista",2010,"2009-10",64,NA
"284","Baulkham Hills (West) - Bella Vista",2011,"2010-11",57,NA
"285","Baulkham Hills (West) - Bella Vista",2012,"2011-12",92,NA
"286","Baulkham Hills (West) - Bella Vista",2013,"2012-13",66,NA
"287","Baulkham Hills (West) - Bella Vista",2014,"2013-14",167,NA
"288","Baulkham Hills (West) - Bella Vista",2015,"2014-15",171,NA
"289","Castle Hill",2007,"2006-07",3,NA
"290","Castle Hill",2008,"2007-08",153,NA
"291","Castle Hill",2009,"2008-09",188,NA
"292","Castle Hill",2010,"2009-10",-3,NA
"293","Castle Hill",2011,"2010-11",-143,NA
"294","Castle Hill",2012,"2011-12",-188,NA
"295","Castle Hill",2013,"2012-13",-116,NA
"296","Castle Hill",2014,"2013-14",-76,NA
"297","Castle Hill",2015,"2014-15",-204,NA
"298","Cherrybrook",2007,"2006-07",-133,NA
"299","Cherrybrook",2008,"2007-08",-68,NA
"300","Cherrybrook",2009,"2008-09",-48,NA
"301","Cherrybrook",2010,"2009-10",21,NA
"302","Cherrybrook",2011,"2010-11",-167,NA
"303","Cherrybrook",2012,"2011-12",-60,NA
"304","Cherrybrook",2013,"2012-13",-116,NA
"305","Cherrybrook",2014,"2013-14",-136,NA
"306","Cherrybrook",2015,"2014-15",-165,NA
"307","Glenhaven",2007,"2006-07",-63,NA
"308","Glenhaven",2008,"2007-08",-27,NA
"309","Glenhaven",2009,"2008-09",3,NA
"310","Glenhaven",2010,"2009-10",-24,NA
"311","Glenhaven",2011,"2010-11",79,NA
"312","Glenhaven",2012,"2011-12",-23,NA
"313","Glenhaven",2013,"2012-13",54,NA
"314","Glenhaven",2014,"2013-14",3,NA
"315","Glenhaven",2015,"2014-15",58,NA
"316","Kellyville",2007,"2006-07",346,NA
"317","Kellyville",2008,"2007-08",285,NA
"318","Kellyville",2009,"2008-09",118,NA
"319","Kellyville",2010,"2009-10",111,NA
"320","Kellyville",2011,"2010-11",-23,NA
"321","Kellyville",2012,"2011-12",115,NA
"322","Kellyville",2013,"2012-13",329,NA
"323","Kellyville",2014,"2013-14",569,NA
"324","Kellyville",2015,"2014-15",569,NA
"325","West Pennant Hills",2007,"2006-07",-121,NA
"326","West Pennant Hills",2008,"2007-08",-4,NA
"327","West Pennant Hills",2009,"2008-09",-102,NA
"328","West Pennant Hills",2010,"2009-10",35,NA
"329","West Pennant Hills",2011,"2010-11",-87,NA
"330","West Pennant Hills",2012,"2011-12",-2,NA
"331","West Pennant Hills",2013,"2012-13",-61,NA
"332","West Pennant Hills",2014,"2013-14",-4,NA
"333","West Pennant Hills",2015,"2014-15",-105,NA
"334","Dural - Kenthurst - Wisemans Ferry",2007,"2006-07",8,NA
"335","Dural - Kenthurst - Wisemans Ferry",2008,"2007-08",23,NA
"336","Dural - Kenthurst - Wisemans Ferry",2009,"2008-09",79,NA
"337","Dural - Kenthurst - Wisemans Ferry",2010,"2009-10",115,NA
"338","Dural - Kenthurst - Wisemans Ferry",2011,"2010-11",183,NA
"339","Dural - Kenthurst - Wisemans Ferry",2012,"2011-12",36,NA
"340","Dural - Kenthurst - Wisemans Ferry",2013,"2012-13",232,NA
"341","Dural - Kenthurst - Wisemans Ferry",2014,"2013-14",93,NA
"342","Dural - Kenthurst - Wisemans Ferry",2015,"2014-15",249,NA
"343","Galston - Laughtondale",2007,"2006-07",-33,NA
"344","Galston - Laughtondale",2008,"2007-08",5,NA
"345","Galston - Laughtondale",2009,"2008-09",15,NA
"346","Galston - Laughtondale",2010,"2009-10",22,NA
"347","Galston - Laughtondale",2011,"2010-11",30,NA
"348","Galston - Laughtondale",2012,"2011-12",-17,NA
"349","Galston - Laughtondale",2013,"2012-13",25,NA
"350","Galston - Laughtondale",2014,"2013-14",67,NA
"351","Galston - Laughtondale",2015,"2014-15",18,NA
"352","Bilpin - Colo - St Albans",2007,"2006-07",-26,NA
"353","Bilpin - Colo - St Albans",2008,"2007-08",-27,NA
"354","Bilpin - Colo - St Albans",2009,"2008-09",27,NA
"355","Bilpin - Colo - St Albans",2010,"2009-10",19,NA
"356","Bilpin - Colo - St Albans",2011,"2010-11",38,NA
"357","Bilpin - Colo - St Albans",2012,"2011-12",-12,NA
"358","Bilpin - Colo - St Albans",2013,"2012-13",10,NA
"359","Bilpin - Colo - St Albans",2014,"2013-14",-14,NA
"360","Bilpin - Colo - St Albans",2015,"2014-15",27,NA
"361","Kurrajong Heights - Ebenezer",2007,"2006-07",-171,NA
"362","Kurrajong Heights - Ebenezer",2008,"2007-08",-121,NA
"363","Kurrajong Heights - Ebenezer",2009,"2008-09",-97,NA
"364","Kurrajong Heights - Ebenezer",2010,"2009-10",-28,NA
"365","Kurrajong Heights - Ebenezer",2011,"2010-11",-48,NA
"366","Kurrajong Heights - Ebenezer",2012,"2011-12",-166,NA
"367","Kurrajong Heights - Ebenezer",2013,"2012-13",-17,NA
"368","Kurrajong Heights - Ebenezer",2014,"2013-14",-43,NA
"369","Kurrajong Heights - Ebenezer",2015,"2014-15",-13,NA
"370","Pitt Town - McGraths Hill",2007,"2006-07",-159,NA
"371","Pitt Town - McGraths Hill",2008,"2007-08",0,NA
"372","Pitt Town - McGraths Hill",2009,"2008-09",11,NA
"373","Pitt Town - McGraths Hill",2010,"2009-10",-41,NA
"374","Pitt Town - McGraths Hill",2011,"2010-11",-12,NA
"375","Pitt Town - McGraths Hill",2012,"2011-12",-72,NA
"376","Pitt Town - McGraths Hill",2013,"2012-13",-51,NA
"377","Pitt Town - McGraths Hill",2014,"2013-14",-58,NA
"378","Pitt Town - McGraths Hill",2015,"2014-15",0,NA
"379","Rouse Hill - Beaumont Hills",2007,"2006-07",196,NA
"380","Rouse Hill - Beaumont Hills",2008,"2007-08",247,NA
"381","Rouse Hill - Beaumont Hills",2009,"2008-09",281,NA
"382","Rouse Hill - Beaumont Hills",2010,"2009-10",183,NA
"383","Rouse Hill - Beaumont Hills",2011,"2010-11",233,NA
"384","Rouse Hill - Beaumont Hills",2012,"2011-12",153,NA
"385","Rouse Hill - Beaumont Hills",2013,"2012-13",264,NA
"386","Rouse Hill - Beaumont Hills",2014,"2013-14",365,NA
"387","Rouse Hill - Beaumont Hills",2015,"2014-15",434,NA
"388","Blacktown (East) - Kings Park",2007,"2006-07",-379,NA
"389","Blacktown (East) - Kings Park",2008,"2007-08",-267,NA
"390","Blacktown (East) - Kings Park",2009,"2008-09",-379,NA
"391","Blacktown (East) - Kings Park",2010,"2009-10",-213,NA
"392","Blacktown (East) - Kings Park",2011,"2010-11",-200,NA
"393","Blacktown (East) - Kings Park",2012,"2011-12",-472,NA
"394","Blacktown (East) - Kings Park",2013,"2012-13",-330,NA
"395","Blacktown (East) - Kings Park",2014,"2013-14",-451,NA
"396","Blacktown (East) - Kings Park",2015,"2014-15",-382,NA
"397","Blacktown (North) - Marayong",2007,"2006-07",-216,NA
"398","Blacktown (North) - Marayong",2008,"2007-08",-201,NA
"399","Blacktown (North) - Marayong",2009,"2008-09",-261,NA
"400","Blacktown (North) - Marayong",2010,"2009-10",-66,NA
"401","Blacktown (North) - Marayong",2011,"2010-11",-158,NA
"402","Blacktown (North) - Marayong",2012,"2011-12",-289,NA
"403","Blacktown (North) - Marayong",2013,"2012-13",-226,NA
"404","Blacktown (North) - Marayong",2014,"2013-14",-278,NA
"405","Blacktown (North) - Marayong",2015,"2014-15",-277,NA
"406","Blacktown (South)",2007,"2006-07",-430,NA
"407","Blacktown (South)",2008,"2007-08",-184,NA
"408","Blacktown (South)",2009,"2008-09",-260,NA
"409","Blacktown (South)",2010,"2009-10",3,NA
"410","Blacktown (South)",2011,"2010-11",6,NA
"411","Blacktown (South)",2012,"2011-12",-399,NA
